file,block,muts,py,diff,rat,mcc,lines,variance,min,max,range,avgmutsperblock,bcharm,colons,indent,ifthenelse,assign,brackets,parens,dots,longstrings,tests,words,numbers,strings,braces,du,arith,comment,empty,idelta,commas,linelen,fdelta,lcc
_home_joshua_ucPython_lib_python2_7_site_py,removeduppaths,1680,1674,-6,-0.06,3,17,0.0650809917355372,-0.77,0.31,1.08,2448.38709677419,-0.00245059288537549,4,0.941176470588235,1,4,4,10,5,1,0,10,0,1,0,0,0,0,0,-1,1,323,0,0
_home_joshua_ucPython_lib_python2_7_site_py,setBEGINLIBPATH,1390,1374,-16,-0.16,2,15,0.0810098765432099,-0.8,0.27,1.07,2448.38709677419,-0.00653491436100132,3,0.666666666666667,2,4,8,10,6,1,0,6,3,12,0,0,4,0,0,0,2,346,0,0
_home_joshua_ucPython_lib_python2_7_site_py,setcopyright,2642,2296,-346,-3.46,3,20,0.119528531855956,-0.8,0.38,1.18,2448.38709677419,-0.141317523056653,7,1.6,3,6,4,18,23,4,0,37,1,23,0,4,5,0,0,-3,11,824,0,1
_home_joshua_ucPython_lib_python2_7_site_py,setencoding,1807,0,-1807,-18.07,5,18,0.147590972222222,-2.78,-1.39,1.39,2448.38709677419,-0.738036890645586,5,1,4,4,4,8,2,1,1,19,4,5,0,0,0,2,0,-2,0,405,0,0
_home_joshua_ucPython_lib_python2_7_site_py,sethelper,278,0,-278,-2.78,1,2,0,-1.39,-1.39,0,2448.38709677419,-0.113544137022398,1,0.5,0,1,0,4,1,0,0,2,0,0,0,0,0,0,0,-1,0,45,0,0
_home_joshua_ucPython_lib_python2_7_site_py,setquit,3061,3011,-50,-0.5,3,27,0.0275514739229025,-0.69,0.18,0.87,2448.38709677419,-0.0204216073781291,11,1.55555555555556,3,7,0,24,9,1,2,21,0,21,0,6,7,0,0,0,3,608,-1,0
_home_joshua_ucPython_lib_python2_7_site_py,virtual_addsitepackages,417,0,-417,-4.17,1,3,0,-1.39,-1.39,0,2448.38709677419,-0.170316205533597,1,0.666666666666667,0,1,0,6,1,0,0,4,0,0,0,0,0,0,0,0,1,157,0,0
_home_joshua_ucPython_lib_python2_7_site_py,virtual_install_main_packages,8200,7,-8193,-81.93,21,74,6.93478885377761e-05,-1.4,-1.33,0.0699999999999998,2448.38709677419,-3.34628458498024,31,2.08108108108108,18,21,32,76,74,0,6,76,24,58,0,2,24,0,0,-1,30,2594,-4,0
_home_joshua_ucPython_lib_python2_7_sre_constants_py,dump,668,664,-4,-0.04,2,5,0.013696,-0.15,0.19,0.34,6600,-0.000606060606060606,3,2,0,2,2,12,4,0,0,7,1,2,0,0,4,0,0,3,5,182,0,0
_home_joshua_ucPython_lib_python2_7_sre_constants_py,error,268,245,-23,-0.23,1,2,0.007225,-0.2,-0.03,0.17,6600,-0.00348484848484848,1,0.5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0
_home_joshua_ucPython_lib_python2_7_sre_constants_py,makedict,929,974,45,0.45,2,7,0.0542244897959184,-0.4,0.35,0.75,6600,0.00681818181818182,2,1.14285714285714,0,4,2,2,0,0,0,6,2,0,2,0,1,0,0,1,0,107,0,0
_home_joshua_ucPython_lib_python2_7_abc_py,ABCMeta,15780,15514,-266,-2.66,7,121,0.0350529539846132,-1.21,0.26,1.47,1860,-0.143010752688172,32,1.77685950413223,19,18,0,114,48,9,1,166,2,25,0,36,11,2,0,1,39,3718,-7,0
_home_joshua_ucPython_lib_python2_7_abc_py,_C,188,171,-17,-0.17,1,1,0,-0.17,-0.17,0,1860,-0.00913978494623656,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0
_home_joshua_ucPython_lib_python2_7_abc_py,__instancecheck__,3003,2812,-191,-1.91,9,19,0.0429859375,-0.64,0.07,0.71,1860,-0.102688172043011,5,2.26315789473684,4,3,0,18,7,2,0,40,0,3,0,10,0,0,0,0,4,713,-1,0
_home_joshua_ucPython_lib_python2_7_abc_py,__new__,3008,2980,-28,-0.28,6,18,0.017352734375,-0.44,0.13,0.57,1860,-0.0150537634408602,4,2.5,2,8,0,30,8,0,0,15,0,6,0,12,0,0,0,1,16,780,-1,0
_home_joshua_ucPython_lib_python2_7_abc_py,__subclasscheck__,5631,5590,-41,-0.41,12,38,0.00781788888888889,-0.24,0.17,0.41,1860,-0.0220430107526882,12,2.18421052631579,9,3,0,32,22,2,1,57,0,3,0,8,0,0,0,-2,7,1188,-1,0
